created_at,Actual,Forecasted
2024-11-10 15:00:21+00:00,4.15,9.332
2024-11-10 15:11:36+00:00,3.69,9.332
2024-11-10 15:22:52+00:00,3.62,9.332
2024-11-10 15:34:07+00:00,4.13,9.332
2024-11-10 15:45:22+00:00,4.15,9.332
2024-11-10 15:56:38+00:00,4.12,9.332
2024-11-10 16:07:53+00:00,4.13,9.332
2024-11-10 16:11:52+00:00,4.13,9.332
2024-11-10 16:19:08+00:00,4.15,9.332
2024-11-10 16:30:24+00:00,4.46,9.332
2024-11-10 16:41:39+00:00,4.43,9.332
2024-11-10 16:52:54+00:00,5.3,9.332
2024-11-10 17:04:10+00:00,6.19,9.332
2024-11-10 17:15:25+00:00,5.32,9.332
2024-11-10 17:26:40+00:00,8.13,9.332
2024-11-10 17:37:56+00:00,9.24,9.332
2024-11-10 17:49:11+00:00,10.44,9.332
2024-11-10 18:00:26+00:00,11.27,9.332
2024-11-10 18:11:42+00:00,11.03,9.332
2024-11-10 18:22:57+00:00,11.46,9.332
2024-11-10 18:34:12+00:00,13.05,9.332
2024-11-10 18:45:28+00:00,7.87,9.332
2024-11-10 18:56:43+00:00,15.88,9.332
2024-11-10 19:07:58+00:00,8.35,9.332
2024-11-10 19:19:14+00:00,13.87,9.332
2024-11-10 19:30:29+00:00,15.74,9.332
2024-11-10 19:41:44+00:00,15.21,9.332
2024-11-10 19:53:00+00:00,17.34,9.332
2024-11-10 20:04:15+00:00,14.3,9.332
2024-11-10 20:15:30+00:00,16.52,9.332
2024-11-10 20:26:46+00:00,19.65,9.332
2024-11-10 20:35:00+00:00,16.240000000000002,9.332
2024-11-10 20:38:01+00:00,16.240000000000002,9.332
2024-11-10 20:47:07+00:00,14.03,9.332
2024-11-10 20:49:16+00:00,14.03,9.332
2024-11-10 20:59:13+00:00,10.51,9.332
2024-11-10 21:00:32+00:00,10.51,9.332
2024-11-10 21:11:47+00:00,9.49,9.332
2024-11-10 21:12:02+00:00,9.49,9.332
2024-11-10 21:15:10+00:00,9.49,9.332
2024-11-10 21:23:05+00:00,13.4,9.332
2024-11-10 21:27:17+00:00,11.016666666666666,9.332
2024-11-10 21:28:38+00:00,5.109999999999999,9.332
2024-11-10 21:34:20+00:00,21.28,9.332
2024-11-10 21:41:30+00:00,12.72,9.332
2024-11-10 21:45:35+00:00,12.72,9.332
